Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request_Date,Request_Hour,Request_Day,Ride_Duration_Minutes,Time_Slot,Ride_Category
619,Airport,1,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,2016-07-11,11,Monday,69.0,Morning,Long Ride
867,Airport,1,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,2016-07-11,17,Monday,50.0,Evening,Average Ride
1807,City,1,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,2016-07-12,9,Tuesday,41.0,Morning,Short Ride
2532,Airport,1,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,2016-07-12,21,Tuesday,55.0,Night,Average Ride
3112,City,1,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,2016-07-13,8,Wednesday,52.516666666666666,Morning,Average Ride
3879,Airport,1,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,2016-07-13,21,Wednesday,31.516666666666666,Night,Short Ride
4270,Airport,1,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,2016-07-14,6,Thursday,57.71666666666667,Morning,Average Ride
5510,Airport,1,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,2016-07-15,5,Friday,56.0,Morning,Average Ride
6248,City,1,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,2016-07-15,17,Friday,53.4,Evening,Average Ride
267,City,2,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,2016-07-11,6,Monday,39.0,Morning,Short Ride
1467,Airport,2,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,2016-07-12,5,Tuesday,54.0,Morning,Average Ride
1983,City,2,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,2016-07-12,12,Tuesday,27.0,Afternoon,Short Ride
2784,Airport,2,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,2016-07-13,4,Wednesday,33.71666666666667,Late Night,Short Ride
3075,City,2,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,2016-07-13,8,Wednesday,73.43333333333334,Morning,Long Ride
3379,City,2,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,2016-07-13,14,Wednesday,72.26666666666667,Afternoon,Long Ride
3482,Airport,2,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,2016-07-13,17,Wednesday,57.55,Evening,Average Ride
4652,City,2,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,2016-07-14,12,Thursday,35.733333333333334,Afternoon,Short Ride
5335,Airport,2,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,2016-07-14,22,Thursday,54.65,Night,Average Ride
535,Airport,3,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,2016-07-11,10,Monday,31.0,Morning,Short Ride
960,Airport,3,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,2016-07-11,18,Monday,38.0,Evening,Short Ride
1934,Airport,3,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,2016-07-12,11,Tuesday,66.0,Morning,Long Ride
2083,Airport,3,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,2016-07-12,15,Tuesday,54.0,Afternoon,Average Ride
2211,Airport,3,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,2016-07-12,18,Tuesday,28.0,Evening,Short Ride
3096,Airport,3,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,2016-07-13,8,Wednesday,65.13333333333334,Morning,Long Ride
3881,Airport,3,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,2016-07-13,21,Wednesday,57.083333333333336,Night,Average Ride
5254,City,3,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,2016-07-14,21,Thursday,62.266666666666666,Night,Long Ride
5434,City,3,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2016-07-15,2,Friday,43.083333333333336,Late Night,Short Ride
5916,City,3,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,2016-07-15,10,Friday,52.38333333333333,Morning,Average Ride
669,City,4,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00,2016-07-11,13,Monday,41.0,Afternoon,Short Ride
1567,Airport,4,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00,2016-07-12,6,Tuesday,49.0,Morning,Average Ride
1826,City,4,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00,2016-07-12,9,Tuesday,60.0,Morning,Long Ride
2102,City,4,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00,2016-07-12,16,Tuesday,52.0,Afternoon,Average Ride
2847,Airport,4,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,2016-07-13,5,Wednesday,35.65,Morning,Short Ride
3722,Airport,4,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,2016-07-13,19,Wednesday,34.083333333333336,Evening,Short Ride
